Region,Country,Fipscd,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Africa,Guinea,GV,5.6,5.5,5.6,5.7,5.7,5.34,6.63,6.95,7.12,6.87,9.3,7.2,7.41,7.62,7.84,7.77,7.84,7.86,7.91,7.91,8.21,8.3,8.36,8.4,8.48,8.5,8.56,NA
Middle East,Bahrain,BA,16.04,15.83,15.63,15.38,15.91,16.06,15.96,18.78,18.95,19.47,20.35,21.16,21.36,20.47,20.76,21.07,20.06,19.67,22.21,22.36,23.29,23.98,23.92,25.95,29.09,31,32.83,NA
Africa,Chad,CD,2,1.9,1.9,1.9,0.9,1.05,1.94,1.7,1.12,1.15,2.37,2.23,2.25,1.15,1.19,1.18,1.22,1.23,1.23,1.23,1.34,1.37,1.41,1.41,1.32,1.35,1.35,NA
Europe,Italy,IT,1934,1874,1781,1750,1720,1705,1734,1815,1829,1897,1874,1862,1894,1891,1869,1942.1,1920.42,1933.76,1941.48,1890.82,1853.77,1836.85,1870.13,1873.27,1793.87,1754.83,1732.27,1677.95
Central & South America,Cuba,CU,202.5,207,223.5,205.6,212.8,217.28,222.91,218.61,221.18,224.8,219.55,203.67,180.04,179.45,182.95,187.41,192.42,200,194,195,195,203.6,201.51,204.85,201.22,202,203.51,NA
Africa,Rwanda,RW,1.1,2.5,2.4,2.7,4.43,4.5,4.47,4.54,4.58,4.71,4.87,4.94,5.07,4.61,4.7,4.77,4.76,4.84,4.92,4.92,5.19,5.24,5.27,5.33,5.16,5.3,5.32,NA
Europe,Germany,GM,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2829,2841,2908,2883,2882.19,2922.35,2917.25,2922.83,2838.45,2771.85,2814.62,2721.64,2678.72,2665.48,2647.12,2664.88,2478.36
Africa,Algeria,AG,121.3,127,143,136,150,164.74,165.8,167.27,172,181.84,194,208.44,210.15,206.6,204.41,204.62,197.85,199.45,205.99,197.79,206.18,217.91,224.56,228.77,238.35,250,279.78,NA
Asia & Oceania,American Samoa,AQ,2.8,3.29,4.56,2.89,3.3,3.11,3.2,3.26,3.21,3.7,3.85,3.85,3.94,3.93,3.83,3.77,3.82,3.83,3.83,3.83,3.74,3.75,3.82,3.82,3.81,4,4.05,NA
Central & South America,Martinique,MB,4.53,4.53,4.48,4.44,3.9,4.78,5.07,5.74,6.83,9.73,10.5,8.58,9.53,12.91,12.8,13.1,13.11,13.13,13.15,13.15,13.35,13.46,13.67,14.24,14.67,15.1,15.48,NA
Central & South America,Antarctica,AY,1,1,1,1,1.27,1.43,1.29,1.33,1.37,1.35,1.37,1.43,1.43,1.43,1.43,1.47,1.47,1.47,1.47,1.47,1.47,1.49,1.49,1.53,1.53,1.55,1.57,NA
Eurasia,Kazakhstan,KZ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404.14,341.39,297.62,269.19,245.24,217.52,196.64,171.23,194.75,210.45,217.16,206.98,221.25,234,243.08,NA
Europe,Former Serbia and Montenegro,YR,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56.45,33.3,32.43,27.02,49.23,67.42,63.44,57.57,62.48,81.94,83.82,84.67,85.08,85,90.32,- -
Europe,Greece,GR,262,254,239,231,232,242,246,267,279,298,314,316,323,333,340,355.47,367.73,374.2,391.64,383.1,399.21,405.73,408.39,428.73,419.76,423.88,444.61,436.09
Central & South America,Jamaica,JM,53,46.3,38.8,41,35,31.49,30.83,33.05,38,43.11,45.69,47.19,51,52.1,54.55,59.73,62.06,66.06,66.73,68.59,65.64,66.2,67.78,70.43,71.33,72,73.37,NA
Europe,Romania,RO,374,345,340,319.6,307,320,322.2,339.59,329.58,345,382.25,276.51,250.01,248.48,220.77,244.21,256.99,269.91,249.53,215.57,224.24,228.91,232.28,219.61,225.09,236,238.23,NA
Central & South America,Falkland Islands,FK,0.08,0.08,0.08,0.08,0.08,0.1,0.1,0.1,0.2,0.19,0.17,0.17,0.17,0.17,0.17,0.19,0.21,0.23,0.19,0.19,0.19,0.19,0.21,0.21,0.23,0.24,0.25,NA
Central & South America,Guyana,GY,9.8,11.5,9.3,8.3,9.3,9.48,9.09,6.84,6.8,4.59,4.4,5,5.88,7.13,7.14,6.24,6.72,7.36,9.29,9.86,10.81,11.1,11.27,11.08,10.07,10.5,10.44,NA
Eurasia,Moldova,MD,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56.95,39.93,22.36,22.11,19.62,18.42,15.35,9.79,9.58,10.56,11.98,12.91,14.3,14.5,15.77,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,Jordan,JO,37,43.8,49.7,53.2,56,57.9,61.82,66.25,61.87,62.29,66.19,62.58,73.06,71.85,81.69,85.44,91.82,88.47,96.21,95.61,101.08,98.84,103.33,106.43,106.98,109,110.68,NA
Middle East,Syria,SY,110,120,121.4,139.4,154,164,163.46,180.16,191.63,198.3,205.27,177.83,184.54,208.87,224.25,226,229.34,239.94,248.18,255.78,255.52,253.73,256.08,257.1,257.62,260,260.95,NA
Africa,Kenya,KE,40.9,39,39,37,36,37,39.2,34.52,38.27,41.78,41.98,36.74,40.58,41.87,43.79,46.23,48.22,44.02,51.33,52.24,56.8,51.93,51.17,54.2,59.18,64,65.53,NA
Africa,Togo,TO,4.1,3.8,3.7,4,4.7,4.4,3.6,3.54,3.69,4.26,4.19,6.74,4.8,3.62,4.15,4.13,4.16,4.34,4.34,6.81,9.47,6.82,8.8,14.2,15.13,16,17.77,NA
Europe,Spain,SP,990,941,1003,1011,852,858,866,895,983,981,1010,1068,1104,1055,1119,1189.36,1199.43,1266.15,1356.02,1396.16,1433.2,1492.35,1504.53,1542.38,1573.18,1607.26,1591.05,1608.33
Europe,Switzerland,SZ,307,251,237,259,249,271,271,264,265,262,268,279,282,267,263,266.78,271.4,267.9,280.36,281.56,274.03,276.9,267.58,269.89,269.58,271.31,277.92,252.53
Europe,United Kingdom,UK,1725,1590,1590,1531,1825,1617,1637,1611,1692,1731,1776,1803,1815,1829,1833,1816.17,1851.63,1803.88,1792.3,1797.31,1759.39,1743.99,1731.49,1759.07,1799.2,1834.33,1830.38,1764.34
Central & South America,Antigua and Barbuda,AC,2.8,2.5,3.4,2,2.23,2.23,2.23,2.72,2.8,2.81,2.93,2.89,2.89,3.04,3.19,3.27,3.27,3.4,3.4,3.4,3.5,3.51,3.53,3.74,4.04,4,4.11,NA
Middle East,Israel,IS,160,163,162,151,143,129.89,133.41,141.3,156.84,163,164.7,173.15,201.4,198.18,200.46,209.5,213.64,231.47,229.48,237.59,255.36,273.36,246.46,251.99,241.35,236,232.32,NA
Africa,Uganda,UG,5,3.2,3.8,3.7,3.8,4.1,4.5,3.85,5.88,5.41,5.79,6.45,6.59,6.84,7.02,7.01,6.97,7.19,8.29,8.29,8.56,9.52,9.93,10.69,10.87,11,11.57,NA
Central & South America,Haiti,HA,6,4,5,4,4,4.79,5.08,8.27,9.04,8.52,4.73,4.69,5.41,4.26,3.71,6.32,7.47,9.43,8.93,10.03,10.33,11.23,11.6,11.55,11.84,12,12.37,NA
Africa,South Africa,SF,312,324,349,338,360,350,349.96,344.52,342.3,348.19,375,402.51,411.62,402.11,409.56,421.07,427.73,438.7,450.77,465.67,457.93,458.24,475.44,490.21,503.91,497,504.91,NA
Europe,Faroe Islands,FO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98,3.99,4.04,4.24,4.35,4.37,4.39,4.39,4.46,4.46,4.49,4.53,4.58,4.6,4.63,NA
Central & South America,Turks and Caicos Islands,TK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.08,0.08,0.08,0.08,0.08,NA
Eurasia,Lithuania,LH,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83.93,76.02,78.27,73.15,65.52,66.51,70.55,61.96,56.53,54.64,53.04,51.56,55.07,57,57.17,NA
Africa,Mali,ML,3,4,3,3,3,3.29,2.49,2.9,1.57,3.23,3.21,3.32,3.37,3.49,3.55,3.55,3.63,3.7,3.74,3.74,3.84,3.85,4.2,4.24,4.37,4.5,4.64,NA
Europe,Cyprus,CY,19.6,17,18,20,20,21.3,22.32,24.19,24.6,29.96,31.79,31.89,37.88,38,43.04,43.06,42.26,42.75,46.2,48.58,47.5,51.63,50.88,51.6,54.54,56,57.83,NA
Africa,Seychelles,SE,1.5,1.2,1.1,1.9,2,2.07,2.05,2.18,3.05,3.23,2.97,3.2,3.3,3.39,3.43,3.45,3.44,3.7,3.7,3.7,3.84,3.95,5.72,5.54,5.8,6,6.56,NA
Europe,Portugal,PO,154,140,184,185,191,180,196,192,204,249,251,252,279,266,271,290.16,280.45,297.22,325.15,336.78,332.66,333.81,343.18,325.92,327.91,336.82,305.82,308.77
Europe,Norway,NO,200,185,167,165,188,197,201,204,196,190,200,189,189,195,200,208.16,219.53,220.28,222.06,222.36,210.36,220.1,217.21,232.04,219.95,221.58,235.61,245.69
Africa,Sao Tome and Principe,TP,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.47,0.49,0.51,0.51,0.53,0.53,0.53,0.53,0.53,0.53,0.61,0.62,0.64,0.64,0.63,0.65,0.66,NA
Africa,Somalia,SO,7.9,9.2,9.1,8.9,9.2,9.08,9.63,7.18,7.27,7.4,6.75,4.03,3.74,3.86,3.86,3.86,3.86,3.86,3.86,3.86,4.8,4.8,4.8,4.8,4.8,5,5.04,NA
Central & South America,Suriname,NS,14.2,12.2,11,8,6.7,8.58,8.51,7.16,7.93,8.7,10.54,9.73,9.2,9.62,9.42,9.73,9.54,9.82,9.92,9.92,10.33,10.88,11.46,11.73,12.22,12,12.37,NA
Eurasia,Belarus,BO,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374.84,288.7,241.17,228.08,206.03,186.04,170.99,149.7,139.77,130.33,123.44,142.83,158.46,156,179.7,NA
Central & South America,Ecuador,EC,84,88,95,85,83,86,91.77,90.19,93.21,90.17,97.32,104,119.15,111.86,119.76,123.38,129.17,134.88,137.23,128.4,130.54,139.97,141.73,146.06,151.9,155,160.48,NA
Africa,Nigeria,NI,170,200,215,202,210,222,208.3,218,234.1,243.99,251,258.66,264.72,270.8,251.97,284.04,286.05,277.25,260.1,251.97,245.57,305.69,303.95,288.47,277.07,300,312.03,NA
Central & South America,Brazil,BR,1148,1085,1061,980,1033,1079.38,1237.71,1263.14,1300.08,1317.13,1466.49,1484.22,1520.58,1579.66,1673.94,1788.43,1904.35,2030.68,2095.92,2130.31,2166.28,2206.08,2131.6,2055.68,2122.81,2166,2216.84,NA
Africa,Burundi,BY,0.7,0.8,0.7,0.8,1,1.04,1.01,1.05,1.73,1.91,2.09,2.33,2.21,2.46,2.6,2.53,2.56,2.59,2.64,2.64,2.64,2.8,2.83,2.94,2.69,2.9,2.96,NA
Middle East,Lebanon,LE,44.9,42,41,43,40.9,47.8,46.27,47.66,43.3,34.83,33,53.36,55.08,67.45,76.47,82.42,85.32,97.26,99.7,103.99,105.53,101.32,101.92,104.49,102.29,106,105.96,NA
Central & South America,Trinidad and Tobago,TD,42.1,39.2,29.9,25.7,24.7,24,23.2,20.62,18.39,21.1,20.4,21.4,21.86,21.4,23.93,21.7,20.44,22.47,21.84,23.35,24.68,29,28.31,31.34,32.45,28,28.73,NA
Africa,Central African Republic,CT,1,1.3,1.4,1.5,1.4,1.43,1.69,1.52,1.62,1.54,1.67,1.75,1.79,1.84,1.94,1.94,1.96,2.01,2.05,2.05,2.2,2.24,2.33,2.33,2.2,2.3,2.32,NA
Africa,Sierra Leone,SL,5,5,5.4,5,5,5.5,5.86,6.25,6.98,6.82,6.88,7.21,5.28,5.33,5.36,5.66,5.65,5.78,5.81,5.81,6.15,6.29,6.4,6.55,7.79,8,8.43,NA
Africa,Swaziland,WZ,2,2,2,2,2,2.25,1.98,2.24,2.42,2.47,2.54,2.81,2.75,3.32,3.48,3.48,3.47,3.48,3.48,3.48,3.53,3.53,3.53,3.53,3.53,3.5,3.49,NA
Europe,Czech Republic,EZ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154,159,168.28,173.18,169.1,174.88,174.32,169.81,178.75,176,187.57,205.9,212.3,211.57,207.14
Africa,Madagascar,MA,8,7,6,8,8,8.58,5.7,8.28,9.07,6.51,6.28,6.52,6.99,7.28,8.09,8.39,8.41,8.5,8.55,8.55,12.13,13.32,15.31,15.84,17.39,17,18.19,NA
Eurasia,Turkmenistan,TX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75.96,66.41,62.65,63.6,61.97,66.39,58.45,53.83,62.36,74.15,78.46,86.78,94.55,98,107.42,NA
Eurasia,Uzbekistan,UZ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190.42,178.55,172.83,184.74,144.06,139.87,147.02,150.14,146.09,148.26,151.36,150.47,152.11,155,157.06,NA
Asia & Oceania,Nauru,NR,0.86,0.87,0.87,0.87,0.9,0.89,0.89,0.89,0.89,0.89,0.93,0.93,0.95,0.95,0.95,0.97,0.96,0.97,0.97,0.97,0.96,0.97,1.01,1.01,1.02,1.05,1.07,NA
Asia & Oceania,Nepal,NP,2,2,3,3,3,2.48,3.74,4.07,3.96,4.12,4,5.17,5.78,5.99,6.83,7.26,9.05,11.09,14.33,15.4,14.9,15.26,15.51,15.67,16.15,16.6,16.96,NA
Asia & Oceania,New Caledonia,NC,10,10,7,6,7,6.3,6.84,7.2,6.72,7.41,7.58,8.22,8.63,8.66,8.42,8.42,8.6,8.62,8.68,8.68,8.59,8.61,10.02,10.02,11.37,11,11.56,NA
Asia & Oceania,New Zealand,NZ,91,85,82,82,85,82,83,90,94,99,105,103,108,108,119,122.68,122.95,127.02,126.87,129.95,131.63,132.26,141.09,147.35,151.95,152.28,150.45,154.62
Asia & Oceania,Niue,NE,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,NA
Asia & Oceania,Pakistan,PK,104,113,134,137,140,159.67,165.75,180.43,194.2,205.63,220.05,221.06,227.21,256.42,282.17,298.09,326.9,333.04,346.84,368.57,365.01,360.12,355.89,336.6,326.85,345,344.97,NA
Asia & Oceania,Papua New Guinea,PP,12,12,12,12,13.6,14.35,14.49,16.07,15.01,15.38,15.6,15.47,15.36,15.34,15,15.18,15.14,15.45,14.83,14.83,14.94,14.98,22.04,25.18,25.02,26,29.05,NA
Asia & Oceania,Philippines,RP,225,212,209,195,167,152,158.75,188.45,195.6,229.4,235.79,235.34,259.63,284.54,302.58,328.42,346.14,364.85,381.36,369.67,352.77,346.85,337.75,332.61,337.22,340,340.05,NA
Asia & Oceania,Samoa,WS,0.67,0.72,0.78,0.78,1,0.8,0.8,0.8,0.8,0.85,0.89,0.89,0.91,0.91,0.87,0.93,0.93,0.93,0.93,0.93,0.97,0.97,1.02,1.02,1.06,1.1,1.13,NA
Asia & Oceania,Singapore,SN,202,214,222,220,235,227,257.33,285.06,304.12,329.21,363,388.68,420.28,469.19,502.53,512.21,586.33,629.88,650.23,643.48,660.3,707.56,698.04,668.3,745.66,802,834.64,NA
Asia & Oceania,Solomon Islands,BP,0.7,1,0.9,1,1,0.88,0.88,1.01,1.12,1.17,1.19,1.19,1.16,1.15,1.12,1.17,1.16,1.17,1.17,1.17,1.21,1.21,1.25,1.25,1.3,1.3,1.32,NA
Asia & Oceania,Sri Lanka,CE,34,34,35,36,39,32.82,31.33,36.16,33.98,31.29,34.52,34.27,36.53,41.44,44.66,47.88,53.22,60.1,61.2,66.01,74.6,73.38,76.41,78.27,80.99,84,86.03,NA
Asia & Oceania,Taiwan,TW,380,340,330,337,384,378,405.26,419.82,482.63,521.31,541.51,545.26,557.1,616.43,658.66,736.9,780.35,775,807.8,852.64,865.3,881.72,893.74,929.9,948.02,970,950.52,NA
Asia & Oceania,Thailand,TH,224,214.4,199,214,233,224.83,234.38,258.99,283.38,348.59,406.51,436.54,475.53,544.51,603.17,678.68,749.41,781.23,736.55,734.26,724.94,701.61,763.27,832.32,915.47,929,928.61,NA
Asia & Oceania,Tonga,TN,0.21,0.31,0.29,0.31,0.31,0.32,0.32,0.47,0.56,0.61,0.61,0.7,0.7,0.72,0.82,0.82,0.9,0.93,0.9,0.9,0.92,0.88,0.78,0.78,0.84,0.88,0.87,NA
Asia & Oceania,U.S. Pacific Islands,IQ,1.06,1.06,1.06,1.06,1,0.91,0.91,0.91,1.24,1.9,1.97,1.97,1.98,1.95,1.95,2.01,2.05,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2,2,NA
Asia & Oceania,Vanuatu,NH,0.8,0.7,0.7,0.7,0.7,0.76,0.76,0.72,0.86,0.77,0.81,0.67,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.56,0.57,0.61,0.61,0.63,0.64,0.66,NA
Asia & Oceania,Vietnam,VM,24,26.4,26,26.6,27,27.88,28.62,34.63,40.12,46.4,53,55.75,60.98,77.37,84.98,94.31,115.76,128.77,135.45,158.84,175.71,178.57,192.9,214.62,238.37,254,273.44,NA
Asia & Oceania,Wake Island,WQ,9,9,9,9,9,8.85,8.85,8.85,8.76,8.78,8.57,8.57,8.67,8.7,8.76,8.85,8.86,8.94,8.94,8.94,8.98,9,9.16,9.16,9.13,9.3,9.37,NA
Asia & Oceania,Asia & Oceania,r7,10729.14,10662.48,10416.95,10350.01,10778.59,10730.57,11084.38,11492.36,12350.1,13140.16,13803.37,14431.85,15210.81,16024.28,17054.25,17924.33,18773.18,19534.86,19267.4,20244.98,20786.52,20956,21368.17,22146.01,23323.25,23826.28,24362.1,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD,Total OECD,,41763,39491,37765.6,36906.31,37690.61,37481.14,38598.6,39340.94,40649.64,41328.65,41610.16,42001.24,42948.86,43296.03,44435.46,44902.08,45977.55,46721.2,46885.7,47806.19,47874.13,47946.43,47891.9,48605.42,49359.57,49663.98,49328.45,48964.02
World Total,World Total,ww,63113.57,60943.79,59543.24,58778.2,59815.17,60085.13,61808.95,63095.12,64965.31,66077.79,66676.1,67276.81,67463.45,67595.63,68863,70066.89,71626.74,73372.28,74004.09,75663.66,76660.32,77402.17,78037.57,79612.68,82332.7,83654.56,84769.99,NA